 * Serving Flask app 'app'
 * Debug mode: on
WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on http://127.0.0.1:5000
Press CTRL+C to quit
 * Restarting with stat
 * Debugger is active!
 * Debugger PIN: 101-478-855
127.0.0.1 - - [07/Dec/2025 11:55:06] "GET / HTTP/1.1" 302 -
127.0.0.1 - - [07/Dec/2025 12:03:25] "GET /create_order HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 12:03:25] "GET /static/css/custom.css HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 12:03:25] "GET /static/js/floating-tools.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 12:03:25] "GET /static/js/calculator.js?v=2.0 HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 12:03:26] "GET /api/customers HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 12:03:26] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [07/Dec/2025 12:03:26] "GET /api/assets HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 12:03:38] "GET /create_order HTTP/1.1" 302 -
127.0.0.1 - - [07/Dec/2025 12:03:38] "GET /admin/login HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 12:03:44] "POST /admin/login HTTP/1.1" 302 -
127.0.0.1 - - [07/Dec/2025 12:03:44] "GET /dashboard HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 12:03:44] "GET /static/css/custom.css HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 12:03:44] "GET /static/js/floating-tools.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 12:03:46] "GET /create_order HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 12:03:46] "GET /static/css/custom.css HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 12:03:46] "GET /static/js/floating-tools.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 12:03:46] "GET /static/js/calculator.js?v=2.0 HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 12:03:46] "GET /api/customers HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 12:03:46] "GET /api/assets HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 12:04:01] "POST /api/calculate HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 12:53:25] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 -
127.0.0.1 - - [07/Dec/2025 12:53:25] "GET /static/css/custom.css HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 12:54:51] "GET /create_order HTTP/1.1" 302 -
127.0.0.1 - - [07/Dec/2025 12:54:51] "GET /admin/login HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 12:54:51] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [07/Dec/2025 12:55:08] "POST /admin/login HTTP/1.1" 302 -
127.0.0.1 - - [07/Dec/2025 12:55:08] "GET /dashboard HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 12:55:08] "GET /static/css/custom.css HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 12:55:08] "GET /static/js/floating-tools.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 12:55:13] "GET /create_order HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 12:55:13] "GET /static/js/calculator.js?v=5427 HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 12:55:13] "GET /static/css/custom.css HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 12:55:13] "GET /static/js/floating-tools.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 12:55:13] "GET /api/customers HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 12:55:13] "GET /api/assets HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 12:55:37] "POST /api/calculate HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 12:58:33] "GET /create_order HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 12:58:33] "GET /static/js/calculator.js?v=8361 HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 12:58:33] "GET /static/css/custom.css HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 12:58:33] "GET /static/js/floating-tools.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 12:58:34] "GET /api/customers HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 12:58:34] "GET /api/assets HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 12:58:54] "POST /api/calculate HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 12:59:13] "POST /api/save-quote HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 12:59:13] "GET /api/customers HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 12:59:13] "GET /api/assets HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 12:59:15] "GET /orders HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 12:59:15] "GET /static/css/custom.css HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 12:59:15] "GET /static/js/floating-tools.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 12:59:15] "GET /static/js/calculator.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 12:59:15] "GET /static/js/quotes.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 12:59:15] "GET /static/js/orders.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 12:59:16] "GET /api/customers HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 12:59:16] "GET /api/assets HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 12:59:16] "GET /orders HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 12:59:16] "GET /static/css/custom.css HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 12:59:16] "GET /static/js/floating-tools.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 12:59:16] "GET /static/js/orders.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 12:59:16] "GET /static/js/calculator.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 12:59:16] "GET /static/js/quotes.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 12:59:16] "GET /api/customers HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 12:59:16] "GET /api/assets HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 12:59:20] "GET /create_order HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 12:59:20] "GET /static/js/calculator.js?v=4149 HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 12:59:20] "GET /static/css/custom.css HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 12:59:20] "GET /static/js/floating-tools.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 12:59:20] "GET /api/customers HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 12:59:20] "GET /api/assets HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 12:59:29] "GET /orders HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 12:59:29] "GET /static/css/custom.css HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 12:59:29] "GET /static/js/floating-tools.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 12:59:29] "GET /static/js/calculator.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 12:59:29] "GET /static/js/quotes.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 12:59:29] "GET /static/js/orders.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 12:59:29] "GET /api/customers HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 12:59:29] "GET /api/assets HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 15:27:02] "GET /create_order HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 15:27:02] "GET /static/js/calculator.js?v=167 HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 15:27:02] "GET /static/js/floating-tools.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 15:27:02] "GET /static/css/custom.css HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 15:27:02] "GET /api/customers HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 15:27:02] "GET /api/assets HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 15:27:37] "POST /api/calculate HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 15:27:48] "POST /api/save-quote HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 15:27:48] "GET /api/customers HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 15:27:48] "GET /api/assets HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 15:27:50] "GET /orders HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 15:27:50] "GET /static/css/custom.css HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 15:27:50] "GET /static/js/floating-tools.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 15:27:50] "GET /static/js/calculator.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 15:27:50] "GET /static/js/quotes.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 15:27:50] "GET /static/js/orders.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 15:27:50] "GET /api/customers HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 15:27:50] "GET /api/assets HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 15:33:09] "GET /orders HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 15:33:09] "GET /static/css/custom.css HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 15:33:09] "GET /static/js/floating-tools.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 15:33:09] "GET /static/js/orders.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 15:33:09] "GET /static/js/quotes.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 15:33:09] "GET /static/js/calculator.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 15:33:09] "GET /api/customers HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 15:33:09] "GET /api/assets HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 15:33:10] "GET /orders HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 15:33:10] "GET /static/css/custom.css HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 15:33:10] "GET /static/js/orders.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 15:33:10] "GET /static/js/calculator.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 15:33:10] "GET /static/js/quotes.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 15:33:10] "GET /static/js/floating-tools.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 15:33:10] "GET /api/customers HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 15:33:10] "GET /api/assets HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 15:33:22] "GET /customers HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 15:33:22] "GET /static/css/custom.css HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 15:33:23] "GET /static/js/floating-tools.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 15:33:32] "GET /create_order HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 15:33:32] "GET /static/css/custom.css HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 15:33:32] "GET /static/js/calculator.js?v=8744 HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 15:33:32] "GET /static/js/floating-tools.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 15:33:32] "GET /api/customers HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 15:33:32] "GET /api/assets HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 15:33:51] "POST /api/calculate HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 15:34:09] "POST /api/save-quote HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 15:34:09] "GET /api/customers HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 15:34:09] "GET /api/assets HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 15:34:11] "GET /orders HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 15:34:11] "GET /static/css/custom.css HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 15:34:11] "GET /static/js/floating-tools.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 15:34:11] "GET /static/js/calculator.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 15:34:11] "GET /static/js/orders.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 15:34:11] "GET /static/js/quotes.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 15:34:11] "GET /api/customers HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 15:34:11] "GET /api/assets HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 15:34:11] "GET /api/quotes HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 15:34:20] "DELETE /api/quotes/277/reject HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 15:34:20] "GET /api/quotes HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 15:34:27] "DELETE /api/quotes/280/reject HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 15:34:27] "GET /api/quotes HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 15:34:30] "POST /api/quotes/279/approve HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 15:34:30] "GET /api/quotes HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 15:34:33] "GET /orders HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 15:34:33] "GET /static/css/custom.css HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 15:34:33] "GET /static/js/floating-tools.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 15:34:33] "GET /static/js/calculator.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 15:34:33] "GET /static/js/orders.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 15:34:33] "GET /static/js/quotes.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 15:34:33] "GET /api/customers HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 15:34:33] "GET /api/assets HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 15:34:33] "GET /api/quotes HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 15:34:36] "POST /api/quotes/278/approve HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 15:34:36] "GET /api/quotes HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 15:34:38] "GET /orders HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 15:34:38] "GET /static/css/custom.css HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 15:34:38] "GET /static/js/orders.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 15:34:38] "GET /static/js/floating-tools.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 15:34:38] "GET /static/js/calculator.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 15:34:38] "GET /static/js/quotes.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 15:34:38] "GET /api/customers HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 15:34:38] "GET /api/assets HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 15:34:38] "GET /api/quotes HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 15:34:43] "GET /api/quotes HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 15:34:43] "GET /api/quotes HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 15:34:48] "GET /api/quotes HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 15:34:48] "GET /api/quotes HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 15:34:53] "GET /api/quotes HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 15:34:53] "GET /api/quotes HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 15:34:57] "GET /api/quotes HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 15:34:57] "GET /api/quotes HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 15:38:22] "GET /api/quotes HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 15:38:22] "GET /api/quotes HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 15:38:35] "GET /orders HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 15:38:35] "GET /static/css/custom.css HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 15:38:35] "GET /static/js/floating-tools.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 15:38:35] "GET /static/js/calculator.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 15:38:35] "GET /static/js/orders.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 15:38:35] "GET /static/js/quotes.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 15:38:35] "GET /api/customers HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 15:38:35] "GET /api/assets HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 15:38:35] "GET /api/quotes HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 15:38:38] "GET /orders HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 15:38:38] "GET /static/css/custom.css HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 15:38:38] "GET /static/js/floating-tools.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 15:38:38] "GET /static/js/orders.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 15:38:38] "GET /static/js/calculator.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 15:38:38] "GET /static/js/quotes.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Dec/2025 15:38:38] "GET /api/customers HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 15:38:38] "GET /api/assets HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 15:38:38] "GET /api/quotes HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 15:38:49] "GET /api/quotes HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 15:38:49] "GET /api/quotes HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 15:38:52] "POST /api/quotes/276/approve HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 15:38:52] "GET /api/quotes HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2025 15:38:54] "GET /orders HTTP/1.1" 200 -
